sequenceID	record_ID	organism	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	assigned_name	assigned_gene	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches	virus_species	virus_order	virus_family	virus_genus	virus_type
212084.Pan_troglodytes.N	212084	Pan_troglodytes	complete	goldenpath_panTro4	panTro4.fa	ORF	chr1	25302141	25302398	258	EBLN-Cetacea-1	N	+	93.2	59.302	7.11	25	157	242	1	258	86	0	35	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212029.Homo_sapiens.N	212029	Homo_sapiens	complete	goldenpath_hg19_2009	chr1.fa	ORF	chr1	25583185	25583517	333	EBLN-Cetacea-1	N	+	92	58.14	5.06	24	157	242	76	333	86	0	36	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212096.Pongo_abelii.N	212096	Pongo_abelii	complete	goldenpath_ponAbe2	chr1.fa	ORF	chr1	205130115	205130447	333	EBLN-Cetacea-1	N	-	91.7	58.14	5.51	24	157	242	76	333	86	0	36	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212048.Macaca_mulatta.N	212048	Macaca_mulatta	low_coverage	goldenpath_rheMac3	rheMac3.fa_1.fa	ORF	chr1	28116121	28116381	261	EBLN-Cetacea-1	N	+	89.7	57.143	1.56	23	159	242	10	261	84	0	36	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212024.Gorilla_gorilla.N	212024	Gorilla_gorilla	complete	goldenpath_gorGor3	gorGor3.fa	ORF	chr1	26144262	26144600	339	EBLN-Cetacea-1	N	+	89.7	56.977	4.02	23	157	242	82	339	86	0	37	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212107.Rhinopithecus_roxellana.N	212107	Rhinopithecus_roxellana	low_coverage	ncbi_100_2014-11-18	61622_ref_Rrox_v1_chrUn.fa	ORF	gi|723380467|ref|NW_010829897.1|	1030151	1030381	231	EBLN-Cetacea-1	N	-	89.4	59.211	1.29	23	157	232	1	228	76	0	31	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212068.Muntiacus_crinifrons.N	212068	Muntiacus_crinifrons	low_coverage	BMJ	GCA_006408485.1_BMJ_genomic.fna	ORF	SJXS01011754.1	2551464	2552276	813	EBLN-Cetacea-1	N	+	88.6	44.667	8.21	21	1	136	418	813	150	7	51	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212055.Mandrillus_sphinx.N	212055	Mandrillus_sphinx	low_coverage	BGI_mandrill_1.0	GCA_004802615.1_BGI_mandrill_1.0_genomic.fna	ORF	SRPC01010220.1	863237	863542	306	EBLN-Cetacea-1	N	+	87	48.077	2.75	22	129	232	43	303	104	1	37	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212119.Theropithecus_gelada.N	212119	Theropithecus_gelada	low_coverage	Tgel_1.0	GCF_003255815.1_Tgel_1.0_genomic.fna	ORF	NC_037668.1	52720589	52720894	306	EBLN-Cetacea-1	N	+	87	48.077	2.75	22	129	232	43	303	104	1	37	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212015.Erythrocebus_patas.N	212015	Erythrocebus_patas	low_coverage	EryPat_v1	GCA_004027335.1_EryPat_v1_BIUU_genomic.fna	ORF	PVJV010010241.1	45545	45922	378	EBLN-Cetacea-1	N	-	86.3	59.211	1.41	21	157	232	148	375	76	0	31	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212099.Propithecus_coquereli.N	212099	Propithecus_coquereli	low_coverage	Pcoq_1.0	379532_ref_Pcoq_1.0_chrUn.fa	ORF	gi|808382679|ref|NW_012147941.1|	3645343	3646334	992	EBLN-Cetacea-1	N	-	85.5	57.143	7.63	35	2	77	502	732	77	1	32	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212046.Macaca_fuscata.N	212046	Macaca_fuscata	low_coverage	GCA_003118495	GCA_003118495.1_macFus_1.0_genomic.fna	ORF	BFBW01000948.1	9962	10372	411	EBLN-Cetacea-1	N	-	85.1	40.876	5.5	21	98	232	67	408	137	3	56	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212030.Homo_sapiens.N	212030	Homo_sapiens	complete	goldenpath_hg38_chromosome	chr1.fa	ORF	chr1	25256694	25256999	306	EBLN-Cetacea-1	N	+	84	59.211	3.76	21	157	232	76	303	76	0	31	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
74000.Camelus_dromedarius.N	74000	Camelus_dromedarius	low_coverage	ncbi_GCF_000767585_2015-05-14	9838_ref_PRJNA234474_Ca_dromedarius_V1.0_chrUn.fa	ORF	gi|742342362|ref|NW_011591367.1|	549535	549909	375	EBLN-Cetacea-1	N	-	80.5	47.619	2	19	109	234	1	375	126	1	65	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
73999.Camelus_bactrianus.N	73999	Camelus_bactrianus	low_coverage	MBC_1.0	9837_ref_Ca_bactrianus_MBC_1.0_chrUn.fa	ORF	gi|741193600|ref|NW_011511566.1|	605288	605662	375	EBLN-Cetacea-1	N	-	80.5	47.619	2	19	109	234	1	375	126	1	65	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
74001.Camelus_ferus.N	74001	Camelus_ferus	low_coverage	bacsac_1.0_april_2013	Camelus_f.unplaced.scaf.fa_5.fa	ORF	gi|429343164|gb|KB016628.1|	500387	500761	375	EBLN-Cetacea-1	N	+	80.5	47.619	2	19	109	234	1	375	126	1	65	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
211989.Colobus_angolensis_palliatus.N	211989	Colobus_angolensis_palliatus	low_coverage	ncbi_100_2015	336983_ref_Cang.pa_1.0_chrUn.fa	ORF	gi|786070579|ref|NW_012117376.1|	16081484	16081741	258	EBLN-Cetacea-1	N	-	75.1	56.977	6	18	157	242	1	258	86	0	37	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212067.Moschus_moschiferus.N	212067	Moschus_moschiferus	low_coverage	MosMos_v1_BIUU	GCA_004024705.1_MosMos_v1_BIUU_genomic.fna	ORF	PVHU010022351.1	13370	13927	558	EBLN-Cetacea-1	N	-	74.3	67.213	6.21	25	29	88	376	558	61	1	19	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
73997.Vicugna_pacos.N	73997	Vicugna_pacos	low_coverage	goldenpath_vicPac2	vicPac2.fa	ORF	KB632637	1179396	1179542	147	EBLN-Cetacea-1	N	+	71.6	71.429	2.36	17	180	228	1	147	49	0	14	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212095.Plecturocebus_donacophilus.N	212095	Plecturocebus_donacophilus	low_coverage	CalDon_v1_BIUU	GCA_004027715.1_CalDon_v1_BIUU_genomic.fna	ORF	PVKP010029915.1	26966	27145	180	EBLN-Cetacea-1	N	+	71.2	61.017	5.64	17	174	232	1	177	59	0	23	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212093.Pithecia_pithecia.N	212093	Pithecia_pithecia	low_coverage	PitPit_v1	GCA_004026645.1_PitPit_v1_BIUU_genomic.fna	ORF	PVIP01013776.1	17989	18165	177	EBLN-Cetacea-1	N	-	68.2	60.345	7.39	16	175	232	1	174	58	0	23	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212105.Rhinopithecus_bieti.N	212105	Rhinopithecus_bieti	low_coverage	ASM169854v1	GCF_001698545.1_ASM169854v1_genomic.fna	ORF	NW_016808328.1	20676	20906	231	EBLN-Cetacea-1	N	-	67	60	4.54	15	157	211	1	165	55	0	22	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212109.Semnopithecus_entellus.N	212109	Semnopithecus_entellus	low_coverage	SemEnt_v1	GCA_004025065.1_SemEnt_v1_BIUU_genomic.fna	ORF	PVII010074323.1	8874	9185	312	EBLN-Cetacea-1	N	-	67	61.818	1	14	157	211	82	246	55	0	21	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212061.Mirounga_angustirostris.N	212061	Mirounga_angustirostris	low_coverage	MirAng_v1_BIUU	GCA_004023865.1_MirAng_v1_BIUU_genomic.fna	ORF	PITE01001232.1	118716	119498	783	EBLN-Cetacea-1	N	-	66.2	46.847	1.06	13	17	122	466	783	111	5	49	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212075.Nasalis_larvatus.N	212075	Nasalis_larvatus	low_coverage	goldepath_nasLar1_2015-12	nasLar1.fa	ORF	chr1	25798633	25798863	231	EBLN-Cetacea-1	N	+	66.2	60	9.01	15	157	211	1	165	55	0	22	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212102.Pygathrix_nemaeus.N	212102	Pygathrix_nemaeus	low_coverage	PygNem_v1_BIUU	GCA_004024825.1_PygNem_v1_BIUU_genomic.fna	ORF	PVHW010006854.1	62488	62718	231	EBLN-Cetacea-1	N	+	66.2	60	9.01	15	157	211	1	165	55	0	22	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212039.Leptonychotes_weddellii.N	212039	Leptonychotes_weddellii	low_coverage	broad_1.1_april_2013	unplaced.scaf.fa_21.fa	ORF	gi|472269126|gb|KB715531.1|	518367	519707	1341	EBLN-Cetacea-1	N	+	65.9	46.429	1.74	13	17	123	466	786	112	5	50	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212110.Semnopithecus_entellus.N	212110	Semnopithecus_entellus	low_coverage	SemEnt_v1	GCA_004025065.1_SemEnt_v1_BIUU_genomic.fna	ORF	PVII010127328.1	199	510	312	EBLN-Cetacea-1	N	-	64.3	60	1.26	13	157	211	82	246	55	0	22	EBLN-Cetacea-1	Mononegavirales	Bornaviridae	EBLN	Endogenous
212559.Eptesicus_fuscus.N	212559	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_14.fa	ORF	gi|411115906|gb|JH977657.1|	9023097	9025398	2302	EBLN-Eptesicus	N	-	378	100	7.22	128	1	181	94	636	181	0	0	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212392.Eptesicus_fuscus.N	212392	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_3.fa	ORF	gi|411115948|gb|JH977615.1|	27929027	27929728	702	EBLN-Eptesicus	N	+	306	80	2.42	107	1	180	70	609	180	0	36	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212469.Nycticebus_coucang.N	212469	Nycticebus_coucang	low_coverage	NycCou_v1_BIUU	GCA_004027815.1_NycCou_v1_BIUU_genomic.fna	ORF	PVIV010023276.1	13352	14227	876	EBLN-Eptesicus	N	-	235	61.111	2.86	78	1	180	205	741	180	1	69	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212421.Lasiurus_borealis.N	212421	Lasiurus_borealis	low_coverage	LasBor_v1	GCA_004026805.1_LasBor_v1_BIUU_genomic.fna	ORF	PVJN01027470.1	24665	25165	501	EBLN-Eptesicus	N	-	235	79.167	3.67	80	1	144	70	501	144	0	30	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212485.Otolemur_garnettii.N	212485	Otolemur_garnettii	complete	goldenpath_otoGar3	otoGar3.fa	ORF	GL873593	5599167	5600054	888	EBLN-Eptesicus	N	-	234	59.444	1.4	77	1	180	253	792	180	0	73	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212449.Myotis_brandtii.N	212449	Myotis_brandtii	low_coverage	ncbi_100_2013	mbr_ref_ASM41265v1_chrUn.fa	ORF	gi|549493356|ref|NW_005368860.1|	2046582	2047367	786	EBLN-Eptesicus	N	-	230	60	9.26	77	1	180	67	606	180	0	72	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212459.Myotis_lucifugus.N	212459	Myotis_lucifugus	low_coverage	goldenpath_myoLuc2	myoLuc2.fa	ORF	GL429794	3683491	3684243	753	EBLN-Eptesicus	N	-	228	60	3.96	76	1	180	67	606	180	0	72	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212447.Myotis_brandtii.N	212447	Myotis_brandtii	low_coverage	ncbi_100_2013	mbr_ref_ASM41265v1_chrUn.fa	ORF	gi|549499838|ref|NW_005365155.1|	1514772	1515554	783	EBLN-Eptesicus	N	+	226	60	3.13	75	1	180	67	606	180	0	72	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212452.Myotis_davidii.N	212452	Myotis_davidii	low_coverage	bgi_1.1_april_2013	Myotis_dav_unplaced.scaf.fa_20.fa	ORF	gi|432091875|gb|KB112607.1|	1552312	1553061	750	EBLN-Eptesicus	N	-	225	58.889	7.44	75	1	180	67	603	180	1	73	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212444.Murina_aurata_feae.N	212444	Murina_aurata_feae	low_coverage	MurFea_v1	GCA_004026665.1_MurFea_v1_BIUU_genomic.fna	ORF	PVJC01064630.1	5099	5650	552	EBLN-Eptesicus	N	-	225	66.049	5.82	76	1	162	70	552	162	1	54	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212869.Antrozous_pallidus.N	212869	Antrozous_pallidus	low_coverage	AntPal_v1_BIUU	GCA_007922775.1_AntPal_v1_BIUU_genomic.fna	ORF	VMDP01012449.1	27682	28272	591	EBLN-Eptesicus	N	-	224	58.333	2.13	75	1	180	40	579	180	0	75	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212446.Murina_aurata_feae.N	212446	Murina_aurata_feae	low_coverage	MurFea_v1	GCA_004026665.1_MurFea_v1_BIUU_genomic.fna	ORF	PVJC01006992.1	22848	23474	627	EBLN-Eptesicus	N	-	196	60.811	5.31	64	33	180	1	444	148	0	58	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212868.Antrozous_pallidus.N	212868	Antrozous_pallidus	low_coverage	AntPal_v1_BIUU	GCA_007922775.1_AntPal_v1_BIUU_genomic.fna	ORF	VMDP01070085.1	7957	8409	453	EBLN-Eptesicus	N	+	195	69.403	1.23	64	15	148	10	411	134	0	41	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212454.Myotis_davidii.N	212454	Myotis_davidii	low_coverage	bgi_1.1_april_2013	Myotis_dav_unplaced.scaf.fa_27.fa	ORF	gi|432011475|gb|KB191414.1|	52	753	702	EBLN-Eptesicus	N	+	194	53.333	4.96	63	1	180	67	606	180	0	84	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212494.Pipistrellus_pipistrellus.N	212494	Pipistrellus_pipistrellus	low_coverage	PipPip_v1	GCA_004026625.1_PipPip_v1_BIUU_genomic.fna	ORF	PVIQ01000602.1	48097	48651	555	EBLN-Eptesicus	N	-	191	59.763	1.55	62	1	169	22	429	169	2	35	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212439.Murina_aurata_feae.N	212439	Murina_aurata_feae	low_coverage	MurFea_v1	GCA_004026665.1_MurFea_v1_BIUU_genomic.fna	ORF	PVJC01066030.1	5613	6149	537	EBLN-Eptesicus	N	-	191	70.543	9.13	63	24	152	142	528	129	0	38	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212479.Nycticeius_humeralis.N	212479	Nycticeius_humeralis	low_coverage	NycHum_v1_BIUU	GCA_007922795.1_NycHum_v1_BIUU_genomic.fna	ORF	VMDQ010019417.1	13624	14175	552	EBLN-Eptesicus	N	+	191	55.556	1.46	62	1	162	67	552	162	0	72	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212496.Pipistrellus_pipistrellus.N	212496	Pipistrellus_pipistrellus	low_coverage	PipPip_v1	GCA_004026625.1_PipPip_v1_BIUU_genomic.fna	ORF	PVIQ01000602.1	104932	105486	555	EBLN-Eptesicus	N	+	191	59.763	1.55	62	1	169	22	429	169	2	35	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212501.Pipistrellus_pipistrellus.N	212501	Pipistrellus_pipistrellus	low_coverage	PipPip_v1	GCA_004026625.1_PipPip_v1_BIUU_genomic.fna	ORF	PVIQ01021036.1	9196	9663	468	EBLN-Eptesicus	N	-	191	59.355	8.25	63	22	176	1	465	155	0	63	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212440.Murina_aurata_feae.N	212440	Murina_aurata_feae	low_coverage	MurFea_v1	GCA_004026665.1_MurFea_v1_BIUU_genomic.fna	ORF	PVJC01031077.1	11959	12627	669	EBLN-Eptesicus	N	-	186	55	8.61	60	1	180	34	573	180	0	81	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212394.Eptesicus_fuscus.N	212394	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_5.fa	ORF	gi|411115944|gb|JH977619.1|	29274071	29274397	327	EBLN-Eptesicus	N	+	185	78.704	1.55	61	62	169	1	324	108	0	23	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212443.Murina_aurata_feae.N	212443	Murina_aurata_feae	low_coverage	MurFea_v1	GCA_004026665.1_MurFea_v1_BIUU_genomic.fna	ORF	PVJC01023755.1	23881	24411	531	EBLN-Eptesicus	N	-	185	68.421	2.86	60	48	180	46	423	133	3	35	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212534.Sorex_araneus.N	212534	Sorex_araneus	complete	goldenpath_sorAra2	sorAra2.fa	ORF	JH798237	1884326	1884976	651	EBLN-Eptesicus	N	+	182	48.333	2.93	58	1	180	82	618	180	1	92	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212458.Myotis_lucifugus.N	212458	Myotis_lucifugus	low_coverage	goldenpath_myoLuc2	myoLuc2.fa	ORF	GL429775	12347354	12347863	510	EBLN-Eptesicus	N	+	172	54.483	3.39	55	1	145	67	501	145	0	66	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212461.Myotis_lucifugus.N	212461	Myotis_lucifugus	low_coverage	goldenpath_myoLuc2	myoLuc2.fa	ORF	GL430622	89095	89562	468	EBLN-Eptesicus	N	+	168	61.475	7.27	54	59	180	1	366	122	0	47	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212344.Alouatta_palliata.N	212344	Alouatta_palliata	low_coverage	AloPal_v1_BIUU	GCA_004027835.1_AloPal_v1_BIUU_genomic.fna	ORF	PVKV010011048.1	17151	17702	552	EBLN-Eptesicus	N	+	167	47.273	4.26	53	16	180	1	495	165	0	87	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212388.Eptesicus_fuscus.N	212388	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_20.fa	ORF	gi|411115851|gb|JH977712.1|	4473348	4473936	589	EBLN-Eptesicus	N	+	165	71.698	2.26	65	63	168	272	589	106	0	30	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212462.Myotis_lucifugus.N	212462	Myotis_lucifugus	low_coverage	goldenpath_myoLuc2	myoLuc2.fa	ORF	GL429892	1802631	1803179	549	EBLN-Eptesicus	N	+	164	61.111	9.18	52	40	165	4	381	126	0	49	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212456.Myotis_davidii.N	212456	Myotis_davidii	low_coverage	bgi_1.1_april_2013	Myotis_dav_unplaced.scaf.fa_6.fa	ORF	gi|432111745|gb|KB102797.1|	946714	947199	486	EBLN-Eptesicus	N	+	162	55.714	1.73	51	1	140	67	486	140	0	62	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212450.Myotis_brandtii.N	212450	Myotis_brandtii	low_coverage	ncbi_100_2013	mbr_ref_ASM41265v1_chrUn.fa	ORF	gi|549506754|ref|NW_005359498.1|	113473	113940	468	EBLN-Eptesicus	N	-	162	59.836	1.78	51	59	180	1	366	122	0	49	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212476.Nycticeius_humeralis.N	212476	Nycticeius_humeralis	low_coverage	NycHum_v1_BIUU	GCA_007922795.1_NycHum_v1_BIUU_genomic.fna	ORF	VMDQ010058284.1	3045	3824	780	EBLN-Eptesicus	N	-	161	45	1.29	49	1	180	43	582	180	0	99	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212417.Lasiurus_borealis.N	212417	Lasiurus_borealis	low_coverage	LasBor_v1	GCA_004026805.1_LasBor_v1_BIUU_genomic.fna	ORF	PVJN01013415.1	7281	8066	786	EBLN-Eptesicus	N	-	160	45	2.43	49	1	180	82	603	180	2	93	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212389.Eptesicus_fuscus.N	212389	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_26.fa	ORF	gi|411115610|gb|JH977953.1|	14570	15127	558	EBLN-Eptesicus	N	-	159	54.745	4.94	50	44	180	127	537	137	0	62	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212415.Lasiurus_borealis.N	212415	Lasiurus_borealis	low_coverage	LasBor_v1	GCA_004026805.1_LasBor_v1_BIUU_genomic.fna	ORF	PVJN01019066.1	3884	4375	492	EBLN-Eptesicus	N	-	158	53.285	8.87	50	1	137	82	492	137	0	64	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212477.Nycticeius_humeralis.N	212477	Nycticeius_humeralis	low_coverage	NycHum_v1_BIUU	GCA_007922795.1_NycHum_v1_BIUU_genomic.fna	ORF	VMDQ010056423.1	7111	7716	606	EBLN-Eptesicus	N	-	156	48.734	2.42	48	1	157	67	540	158	1	80	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212396.Eptesicus_fuscus.N	212396	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_8.fa	ORF	gi|411115935|gb|JH977628.1|	18139319	18139900	582	EBLN-Eptesicus	N	+	155	48.214	2.3	48	1	168	82	582	168	1	86	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212367.Cercocebus_atys.N	212367	Cercocebus_atys	low_coverage	ncbi_100_2015	9531_ref_Caty_1.0_chrUn.fa	ORF	gi|778120313|ref|NW_012005601.1|	8577416	8578045	630	EBLN-Eptesicus	N	+	155	48.125	4.92	48	21	180	34	513	160	0	83	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212422.Macaca_fascicularis.N	212422	Macaca_fascicularis	complete	5	mfa_ref_Macaca_fascicularis_5.0_chr14.fa	ORF	gi|540352245|ref|NC_022285.1|	70305002	70305691	690	EBLN-Eptesicus	N	-	154	48.125	4.68	47	21	180	34	513	160	0	83	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212426.Macaca_mulatta.N	212426	Macaca_mulatta	low_coverage	goldenpath_rheMac3	rheMac3.fa_2.fa	ORF	chr14	73498324	73499013	690	EBLN-Eptesicus	N	-	154	48.125	3.34	47	21	180	34	513	160	0	83	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212537.Theropithecus_gelada.N	212537	Theropithecus_gelada	low_coverage	Tgel_1.0	GCF_003255815.1_Tgel_1.0_genomic.fna	ORF	NC_037682.1	66964831	66965520	690	EBLN-Eptesicus	N	-	154	48.125	4.29	47	21	180	34	513	160	0	83	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212430.Mandrillus_leucophaeus.N	212430	Mandrillus_leucophaeus	low_coverage	Mleu.le_1.0	9568_ref_Mleu.le_1.0_chrUn.fa	ORF	gi|786055685|ref|NW_012107297.1|	1303176	1303865	690	EBLN-Eptesicus	N	+	153	48.125	5.05	47	21	180	34	513	160	0	83	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212432.Mandrillus_sphinx.N	212432	Mandrillus_sphinx	low_coverage	BGI_mandrill_1.0	GCA_004802615.1_BGI_mandrill_1.0_genomic.fna	ORF	SRPC01036929.1	1864142	1864831	690	EBLN-Eptesicus	N	+	153	48.125	5.05	47	21	180	34	513	160	0	83	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212420.Lasiurus_borealis.N	212420	Lasiurus_borealis	low_coverage	LasBor_v1	GCA_004026805.1_LasBor_v1_BIUU_genomic.fna	ORF	PVJN01021292.1	12079	12486	408	EBLN-Eptesicus	N	+	152	71.569	7.88	48	1	102	70	375	102	0	29	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212399.Erythrocebus_patas.N	212399	Erythrocebus_patas	low_coverage	EryPat_v1	GCA_004027335.1_EryPat_v1_BIUU_genomic.fna	ORF	PVJV010002495.1	109707	110342	636	EBLN-Eptesicus	N	+	151	47.5	1.63	46	21	180	34	513	160	0	84	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212490.Papio_anubis.N	212490	Papio_anubis	low_coverage	goldenpath_papAnu2	papAnu2.fa_2.fa	ORF	chr14	64860423	64861112	690	EBLN-Eptesicus	N	-	150	49.032	1.1	45	21	175	34	498	155	0	79	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212393.Eptesicus_fuscus.N	212393	Eptesicus_fuscus	low_coverage	broad_1.0_april_2013	Eptesicus_f.unplaced.scaf.fa_5.fa	ORF	gi|411115944|gb|JH977619.1|	29280518	29281105	588	EBLN-Eptesicus	N	+	150	44.767	3.52	46	1	172	79	582	172	2	91	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212425.Macaca_fuscata.N	212425	Macaca_fuscata	low_coverage	GCA_003118495	GCA_003118495.1_macFus_1.0_genomic.fna	ORF	BFBW01038420.1	48056	48745	690	EBLN-Eptesicus	N	-	150	47.5	1.3	45	21	180	34	513	160	0	84	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212408.Homo_sapiens.N	212408	Homo_sapiens	complete	goldenpath_hg19_2009	chr11.fa	ORF	chr11	74722970	74723575	606	EBLN-Eptesicus	N	-	147	46.875	5.67	45	21	180	10	489	160	0	85	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212412.Homo_sapiens.N	212412	Homo_sapiens	complete	goldenpath_hg38_chromosome	chr11.fa	ORF	chr11	75011925	75012530	606	EBLN-Eptesicus	N	-	147	46.875	5.67	45	21	180	10	489	160	0	85	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
212405.Gorilla_gorilla.N	212405	Gorilla_gorilla	complete	goldenpath_gorGor3	gorGor3.fa	ORF	chr11	72033549	72034154	606	EBLN-Eptesicus	N	-	146	46.875	1.32	44	21	180	10	489	160	0	85	EBLN-Eptesicus	Mononegavirales	Bornaviridae	EBLN	Endogenous
